model,mnist_c_variant,accuracy,model_type
2022-07-01_141404,identity,0.9766,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,pixelate,0.9165,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,dotted_line,0.7476,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,gaussian_blur,0.7318,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,elastic_transform,0.7264,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,jpeg_compression,0.9688,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,speckle_noise,0.9622,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,glass_blur,0.8734,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,spatter,0.9378,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,translate,0.3317,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,fog,0.4734,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,shear,0.9366,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,scale,0.6519,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,zigzag,0.5439,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,defocus_blur,0.5319,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,gaussian_noise,0.1177,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,contrast,0.1298,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,canny_edges,0.5907,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,zoom_blur,0.9384,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,line,0.7154,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,pessimal_noise,0.8042,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,rotate,0.8519,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,brightness,0.3972,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,shot_noise,0.959,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,saturate,0.6774,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,motion_blur,0.7129,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,snow,0.38,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,inverse,0.098,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,impulse_noise,0.1477,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,stripe,0.3905,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,quantize,0.971,TinyLateralNet__Optuna_BestRun
2022-07-01_141404,frost,0.3015,TinyLateralNet__Optuna_BestRun
