,model,mnist_c_variant,accuracy
0,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,line,0.8717
1,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,elastic_transform,0.8671
2,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,zigzag,0.9246
3,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,motion_blur,0.9013
4,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,gaussian_blur,0.9014
5,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,pessimal_noise,0.9456
6,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,impulse_noise,0.9638
7,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,defocus_blur,0.9167
8,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,spatter,0.9598
9,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,dotted_line,0.9704
10,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,gaussian_noise,0.9738
11,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,pixelate,0.9559
12,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,zoom_blur,0.9778
13,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,shot_noise,0.9783
14,VGG16_LCL_2022-04-07_202405__it15000_e3.pt,fog,0.9843
15,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,line,0.8434
16,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,elastic_transform,0.8756
17,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,zigzag,0.8947
18,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,motion_blur,0.9598
19,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,gaussian_blur,0.9515
20,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,pessimal_noise,0.9252
21,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,impulse_noise,0.9801
22,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,defocus_blur,0.9593
23,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,spatter,0.9838
24,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,dotted_line,0.976
25,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,gaussian_noise,0.9707
26,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,pixelate,0.979
27,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,zoom_blur,0.9801
28,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,shot_noise,0.9855
29,VGG16_LCL_2022-04-07_202410__it17500_e3.pt,fog,0.8357
